child_guid,avg_span
US-10101108-B2,33803.0
US-10101109-B2,13286.636363636364
US-10101111-B2,11573.177777777777
US-10101115-B1,17761.0
US-10101117-B2,3476.6666666666665
US-10101118-B2,1610.0
US-10101119-B2,8211.0
US-10101120-B2,12908.0
US-10101122-B2,2168.3846153846152
US-10101123-B2,6681.5
US-10101124-B2,4998.0
US-10101125-B2,6639.5
US-10101455-B1,5327.0
US-10103836-B2,
US-10104241-B2,2968.0
US-10105583-B2,12068.0
US-10105584-B1,
US-10107577-B2,13091.037037037036
US-10107578-B1,14057.0
US-10107579-B2,7008.75
US-10107581-B2,5743.5
US-10107582-B2,4396.194444444444
US-10107583-B2,4265.882352941177
US-10107586-B2,840.0
US-10107587-B2,1960.0
US-10107591-B2,9181.666666666666
US-10107592-B1,
US-10107594-B1,7413.0
US-10107595-B1,7504.0
US-10107596-B2,2819.25
US-10107597-B2,1253.0
US-10107600-B2,7496.125
US-10107607-B1,11102.0
US-10107627-B2,
US-10112076-B2,
US-10112356-B2,12054.0
US-10113211-B2,7691.923076923077
US-10113819-B2,3996.6111111111113
US-10113820-B1,11652.2
US-10113821-B1,6490.75
US-10113822-B1,1631.0
US-10113823-B2,7673.866666666667
US-10113824-B2,294.0
US-10113833-B2,12698.0
US-10113835-B1,9583.0
US-10113837-B2,7987.0
US-10117427-B1,6125.0
US-10119779-B1,2352.1573033707864
US-10119781-B1,7318.818181818182
US-10119784-B1,1576.75
US-10119785-B2,9191.0
US-10119786-B1,609.0
US-10123592-B2,11536.0
US-10124368-B2,
US-10124883-B2,5530.0
US-10126077-B1,8470.0
US-10126078-B1,252.0
US-10126080-B2,6981.1
US-10126081-B1,1704.5
US-10126083-B2,
US-10126084-B1,9757.416666666666
US-10126086-B2,11747.64705882353
US-10126095-B1,1138.0
US-10126098-B2,16774.25806451613
US-10126099-B1,4513.833333333333
US-10126101-B2,6087.9
US-10126106-B1,8297.0
US-10130160-B1,9104.666666666666
US-10130865-B2,3614.3333333333335
US-10131587-B1,11368.0
US-10132580-B1,2111.6666666666665
US-10132581-B2,9684.5
US-10132582-B1,10183.727272727272
US-10132583-B2,10628.423076923076
US-10132586-B1,9262.4
US-10132589-B1,10176.833333333334
US-10132591-B2,3730.4615384615386
US-10132592-B1,7748.416666666667
US-10137979-B1,
US-10138045-B2,4543.0
US-10139101-B2,6897.333333333333
US-10139173-B2,15725.76923076923
US-10139176-B1,8736.0
US-10139180-B2,10777.0
US-10139181-B1,8912.75
US-10139182-B2,5248.35294117647
US-10139183-B1,2072.0
US-10139184-B1,7621.5
US-10139186-B2,6167.0
US-10139195-B2,2181.6666666666665
US-10139197-B1,12412.59090909091
US-10139200-B2,
US-10139202-B2,6540.333333333333
US-10139203-B1,9900.625
US-10141092-B2,
US-10143277-B1,5999.0
US-10145507-B2,1950.6666666666667
US-10145634-B2,2226.0
US-10145635-B2,11523.96
US-10145637-B2,10404.333333333334
US-10145638-B1,13461.0
US-10145639-B2,10495.52
US-10145648-B1,532.0
US-10145649-B2,10274.833333333334
US-10145653-B2,8523.083333333334
US-10145658-B2,8417.5
US-10145660-B1,7290.5
US-10145663-B2,6405.0
US-10146068-B2,
US-10146974-B2,15554.0
US-10150130-B2,
US-10151544-B1,2856.0
US-10151545-B1,2373.0
US-10151546-B2,7361.415384615385
US-10151547-B1,15555.75
US-10151548-B2,9571.5
US-10151549-B1,12309.5
US-10151550-B2,5002.2
US-10151551-B2,6450.5
US-10151552-B2,9918.066666666668
US-10151556-B2,5554.5
US-10151561-B1,10108.0
US-10151562-B1,7294.0
US-10151563-B2,5596.888888888889
US-10151565-B2,4837.0
US-10151635-B1,7189.0
US-10152856-B2,770.0
US-10156407-B2,7735.0
US-10156408-B1,13540.8
US-10156409-B1,8158.111111111111
US-10156410-B1,9662.0
US-10156411-B2,4090.3333333333335
US-10156412-B1,13423.375
US-10156414-B2,11141.846153846154
US-10156420-B2,8649.375
US-10156421-B2,7867.88524590164
US-10156422-B1,14376.727272727272
US-10156423-B2,7973.875
US-10156424-B2,9027.0
US-10156425-B2,1621.6666666666667
US-10156426-B2,5506.666666666667
US-10156631-B2,7304.315789473684
US-10159328-B1,4277.0
US-10161697-B1,3517.5
US-10161700-B2,11044.0
US-10161701-B2,12159.0
US-10161703-B2,21066.5
US-10161704-B1,9010.555555555555
US-10161705-B2,7151.76
